site,country,inscription date,is the site in danger,removal date,latitude,longitude,area,category,transboundary
Historic Monuments and Sites in Kaesong,Dem. People''s Rep. Korea,2013,No,,37.9816667,126.5080556,494.2,Cultural,No
Asmara: A Modernist African City,Eritrea,2017,No,,15.3352778,38.9358333,481.0,Cultural,No
Peking Man Site at Zhoukoudian,China,1987,No,,39.689449,115.922702,480.0,Cultural,No
Robben Island,South Africa,1999,No,,-33.8,18.3666667,475.0,Cultural,No
"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue",Hungary,1987,No,,47.48242,19.07067,473.3,Cultural,No
Caves and Ice Age Art in the Swabian Jura,Germany,2017,No,,48.3877778,9.7655556,462.1,Cultural,No
"Modernist Kaunas: Architecture of Optimism, 1919-1939",Lithuania,2023,No,,54.8969444,23.9291667,451.6,Cultural,No
"Alhambra, Generalife and Albayzín, Granada",Spain,1984,No,,37.1767778,-3.5899167,450.0,Cultural,No
City of Verona,Italy,2000,No,,45.4386111,10.9938889,444.4,Cultural,No
Historic Centre of Riga,Latvia,1997,No,,56.95417,24.11667,438.3,Cultural,No
Birka and Hovgården,Sweden,1993,No,,59.33514,17.54264,437.121,Cultural,No
Rock Drawings in Valcamonica,Italy,1979,No,,45.9570556,10.2973333,432.3,Cultural,No
Itsukushima Shinto Shrine,Japan,1996,No,,34.2944167,132.3246389,431.2,Cultural,No
Historic Site of Lyon,France,1998,No,,45.76722,4.83333,427.0,Cultural,No
Bolgar Historical and Archaeological Complex,Russia,2014,No,,54.9788889,49.0563889,424.0,Cultural,No
Al Zubarah Archaeological Site,Qatar,2013,No,,25.9780556,51.0297222,415.66,Cultural,No
Yin Xu,China,2006,No,,36.1266667,114.3138889,414.0,Cultural,No
Škocjan Caves,Slovenia,1986,No,,45.66667,14.0,413.0,Natural,No
Historic Centre of Brugge,Belgium,2000,No,,51.20891,3.22527,410.0,Cultural,No
Namhansanseong,Korea,2014,No,,37.4788889,127.1811111,409.06,Cultural,No
Archaeological Heritage of the Lenggong Valley,Malaysia,2012,No,,5.0679083,100.9723278,398.64,Cultural,No
Historic Centre of Morelia,Mexico,1991,No,,19.700927,-101.190376,390.0,Cultural,No
Archaeological Site of Leptis Magna,Libya,1982,Yes,,32.63833,14.29306,387.485,Cultural,No
Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,Poland,1999,No,,49.8666667,19.6666667,380.0,Cultural,No
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,Montenegro,2017,No,,45.7033333,9.6636111,378.37,Cultural,Yes
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,Croatia,2017,No,,45.7033333,9.6636111,378.37,Cultural,Yes
Venetian Works of Defence between the 16th and 17th Centuries: Stato da Terra – Western Stato da Mar,Italy,2017,No,,45.7033333,9.6636111,378.37,Cultural,Yes
"Landmarks of the Ancient Kingdom of Saba, Marib",Yemen,2023,Yes,,15.4268778,45.3352278,375.29,Cultural,No
Nubian Monuments from Abu Simbel to Philae,Egypt,1979,No,,22.3372222,31.6258056,374.48,Cultural,No
Kaiping Diaolou and Villages,China,2007,No,,22.2855194,112.5658611,371.948,Cultural,No
Historic Centre of Vienna,Austria,2001,Yes,,48.2094,16.3699,371.0,Cultural,No
Residences of the Royal House of Savoy,Italy,1997,No,,45.07253,7.68572,370.82,Cultural,No
"Paris, Banks of the Seine",France,1991,No,,48.8655,2.3211389,365.0,Cultural,No
Ancient City of Aleppo,Syrian Arab Republic,1986,Yes,,36.1991667,37.1627778,364.0,Cultural,No
Kunya-Urgench,Turkmenistan,2005,No,,42.18318,59.08494,353.24,Cultural,No
State Historical and Cultural Park “Ancient Merv”,Turkmenistan,1999,No,,37.70083,62.1775,353.24,Cultural,No
Vilnius Historic Centre,Lithuania,1994,No,,54.68667,25.29306,352.09,Cultural,No
Delos,Greece,1990,No,,37.4,25.26667,350.64,Cultural,No
Susa,Iran,2015,No,,32.1894444,48.2561111,350.0,Cultural,No
Le Morne Cultural Landscape,Mauritius,2008,No,,-20.4519444,57.3283333,349.6,Cultural,No
Krzemionki Prehistoric Striped Flint Mining Region,Poland,2019,No,,50.9679722,21.5023056,349.2,Cultural,No
"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir",West Bank and Gaza,2014,Yes,,31.7163889,35.1588889,348.83,Cultural,No
Yungang Grottoes,China,2001,No,,40.10972,113.12222,348.75,Cultural,No
"Rabat, Modern Capital and Historic City: a Shared Heritage",Morocco,2012,No,,34.0241667,-6.8227778,348.59,Cultural,No
Muskauer Park / Park Mużakowski,Germany,2004,No,,51.5793056,14.7264444,348.0,Cultural,Yes
Muskauer Park / Park Mużakowski,Poland,2004,No,,51.5793056,14.7264444,348.0,Cultural,Yes
Tr’ondëk-Klondike,Canada,2023,No,,64.0503472,-139.4399472,334.54,Cultural,No
City of Vicenza and the Palladian Villas of the Veneto,Italy,1994,No,,45.5491667,11.5494444,333.87,Cultural,No
Pergamon and its Multi-Layered Cultural Landscape,Turkey,2014,No,,39.1258333,27.18,332.5,Cultural,No
Longmen Grottoes,China,2000,No,,34.4666667,112.4666667,331.0,Cultural,No
Etruscan Necropolises of Cerveteri and Tarquinia,Italy,2004,No,,42.0068333,12.1018889,326.93,Cultural,No
Hatra,Iraq,1985,Yes,,35.58806,42.71833,323.75,Cultural,No
Mill Network at Kinderdijk-Elshout,Netherlands,1997,No,,51.8825,4.6494444,322.0,Cultural,No
Hopewell Ceremonial Earthworks,United States,2023,No,,40.0536583,-82.4460611,320.7,Cultural,No
Naval Port of Karlskrona,Sweden,1998,No,,56.16667,15.58333,320.417,Cultural,No
"Kulangsu, a Historic International Settlement",China,2017,No,,24.4475,118.0619444,316.2,Cultural,No
Complex of Hué Monuments,Vietnam,1993,No,,16.46944,107.57778,315.47,Cultural,No
Red Bay Basque Whaling Station,Canada,2013,No,,51.726925,-56.4295222,312.973,Cultural,No
Studley Royal Park including the Ruins of Fountains Abbey,United Kingdom,1986,No,,54.1161111,-1.5730556,310.0,Cultural,No
"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Japan,2015,No,,34.4305556,131.4122222,306.66,Cultural,No
San Antonio Missions,United States,2015,No,,29.3280556,-98.46,300.8,Cultural,No
"Summer Palace, an Imperial Garden in Beijing",China,1998,No,,39.9105556,116.1411111,297.0,Cultural,No
Medina of Tunis,Tunisia,1979,No,,36.81667,10.16667,296.41,Cultural,No
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),Jordan,2015,No,,31.8372222,35.5527778,294.155,Cultural,No
Historic City of Ayutthaya,Thailand,1991,No,,14.34778,100.56056,289.0,Cultural,No
Archaeological Site of Atapuerca,Spain,2000,No,,42.3497222,-3.5152778,284.119,Cultural,No
"La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning",Switzerland,2009,No,,47.1038889,6.8327778,283.9,Cultural,No
Medina of Fez,Morocco,1981,No,,34.06111,-4.97778,280.0,Cultural,No
Masada,Israel,2001,No,,31.3155556,35.3536111,276.0,Cultural,No
Shahr-i Sokhta,Iran,2014,No,,30.5938889,61.3277778,275.0,Cultural,No
Prehistoric Pile Dwellings around the Alps,Italy,2011,No,,47.2783333,8.2075,274.2,Cultural,Yes
Prehistoric Pile Dwellings around the Alps,Germany,2011,No,,47.2783333,8.2075,274.2,Cultural,Yes
Prehistoric Pile Dwellings around the Alps,Austria,2011,No,,47.2783333,8.2075,274.2,Cultural,Yes
Prehistoric Pile Dwellings around the Alps,Slovenia,2011,No,,47.2783333,8.2075,274.2,Cultural,Yes
Prehistoric Pile Dwellings around the Alps,Switzerland,2011,No,,47.2783333,8.2075,274.2,Cultural,Yes
Prehistoric Pile Dwellings around the Alps,France,2011,No,,47.2783333,8.2075,274.2,Cultural,Yes
Fray Bentos Industrial Landscape,Uruguay,2015,No,,-33.1177778,-58.3316667,273.8,Cultural,No
Meteora,Greece,1988,No,,39.71667,21.63333,271.87,Mixed,No
Hattusha: the Hittite Capital,Turkey,1986,No,,40.01389,34.62056,268.46,Cultural,No
Ombilin Coal Mining Heritage of Sawahlunto,Indonesia,2019,No,,-0.7666256,100.7378833,268.18,Cultural,No
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",Brazil,1983,No,,-28.5433333,-54.2658333,265.09,Cultural,Yes
"Jesuit Missions of the Guaranis: San Ignacio Mini, Santa Ana, Nuestra Señora de Loreto and Santa Maria Mayor (Argentina), Ruins of Sao Miguel das Missoes (Brazil)",Argentina,1983,No,,-28.5433333,-54.2658333,265.09,Cultural,Yes
Historic City of Toledo,Spain,1986,No,,39.8569444,-4.0244444,259.85,Cultural,No
Ancient City of Tauric Chersonese and its Chora,Ukraine,2013,No,,44.6108333,33.4913889,259.3752,Cultural,No
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,Israel,2014,No,,31.6011111,34.9,259.0,Cultural,No
Historic Monuments Zone of Querétaro,Mexico,1996,No,,20.593292,-100.392135,258.3,Cultural,No
"Historic Town of St George and Related Fortifications, Bermuda",United Kingdom,2000,No,,32.3794444,-64.6777778,257.5,Cultural,No
Antigua Naval Dockyard and Related Archaeological Sites,Antigua and Barbuda,2016,No,,17.0069444,-61.7616667,255.0,Cultural,No
Archaeological Site of Ani,Turkey,2016,No,,40.5,43.5666667,250.7,Cultural,No
Pre-Hispanic City of Teotihuacan,Mexico,1987,No,,19.69167,-98.84167,250.0,Cultural,No
Ancient City of Ping Yao,China,1997,No,,37.20139,112.15444,245.62,Cultural,No
Mausoleum of the First Qin Emperor,China,1987,No,,34.381311,109.259951,244.0,Cultural,No
Ḥimā Cultural Area,Saudi Arabia,2021,No,,18.3167111,44.5453361,242.17,Cultural,No
Shushtar Historical Hydraulic System,Iran,2009,No,,32.0186111,48.8358333,240.4152,Cultural,No
"El Tajin, Pre-Hispanic City",Mexico,1992,No,,20.446095,-97.377642,240.0,Cultural,No
Archaeological Ruins at Moenjodaro,Pakistan,1980,No,,27.3291667,68.1388889,240.0,Cultural,No
Historic Centre of Shakhrisyabz,Uzbekistan,2000,Yes,,39.05,66.83333,240.0,Cultural,No
Giant''s Causeway and Causeway Coast,United Kingdom,1986,No,,55.2408333,-6.5116667,239.405,Natural,No
Old Havana and its Fortification System,Cuba,1982,No,,23.1333333,-82.35,238.7,Cultural,No
Historic Centre of the City of Salzburg,Austria,1996,No,,47.8005556,13.0433333,236.0,Cultural,No
Mantua and Sabbioneta,Italy,2008,No,,45.1594444,10.7944444,235.0,Cultural,No
Complex of Koguryo Tombs,Dem. People''s Rep. Korea,2004,No,,38.8630556,125.415,234.73,Cultural,No
Tower of Hercules,Spain,2009,No,,43.3858333,-8.4063889,233.0,Cultural,No
Archaeological Border complex of Hedeby and the Danevirke,Germany,2018,No,,54.4619444,9.4541111,227.55,Cultural,No
Historic Centre of Santa Ana de los Ríos de Cuenca,Ecuador,1999,No,,-2.897447,-79.004382,224.14,Cultural,No
Historic Centre of Bukhara,Uzbekistan,1993,No,,39.77472,64.42861,216.0,Cultural,No
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,China,1998,No,,39.8455556,116.4447222,215.0,Cultural,No
Fortress of Suomenlinna,Finland,1991,No,,60.14722,24.98722,210.0,Cultural,No
"Cidade Velha, Historic Centre of Ribeira Grande",Cabo Verde,2009,No,,14.9151389,-23.6051944,209.1,Cultural,No
Historic Centre of Zacatecas,Mexico,1993,No,,22.775484,-102.573531,207.72,Cultural,No
Historic Centre of Salvador de Bahia,Brazil,1985,No,,-12.972917,-38.512981,200.0,Cultural,No
Stari Ras and Sopoćani,Serbia,1979,No,,43.11889,20.42278,198.72,Cultural,No
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,Netherlands,2010,No,,52.365,4.8877778,198.2,Cultural,No
Historic City of Yazd,Iran,2017,No,,31.9013889,54.3691667,195.67,Cultural,No
Kernavė  Archaeological Site (Cultural Reserve of Kernavė),Lithuania,2004,No,,54.879,24.853,194.4,Cultural,No
City of Safranbolu,Turkey,1994,No,,41.26,32.68972,193.0,Cultural,No
Auschwitz Birkenau German Nazi Concentration and Extermination Camp (1940-1945),Poland,1979,No,,50.0388889,19.175,191.97,Cultural,No
Historic Centre of the Town of Olinda,Brazil,1982,No,,-8.0133333,-34.845,190.9,Cultural,No
Gaya Tumuli,Korea,2023,No,,35.2372639,128.873725,189.0,Cultural,No
Bisotun,Iran,2006,No,,34.3883333,47.4366667,187.0,Cultural,No
Historic Bridgetown and its Garrison,Barbados,2011,No,,13.0966667,-59.6138889,187.0,Cultural,No
Palace and Gardens of Schönbrunn,Austria,1996,No,,48.1866667,16.3133333,186.28,Cultural,No
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,China,1994,No,,35.613215,116.994561,183.0,Cultural,No
"Vézelay, Church and Hill",France,1979,No,,47.4663889,3.7483333,183.0,Cultural,No
"Strasbourg, Grande-Île and Neustadt",France,1988,No,,48.5844444,7.7488889,183.0,Cultural,No
Old town of Regensburg with Stadtamhof,Germany,2006,No,,49.0205556,12.0991667,182.8,Cultural,No
Abu Mena,Egypt,1979,Yes,,30.8358333,29.6666667,182.72,Cultural,No
Gebel Barkal and the Sites of the Napatan Region,Sudan,2003,No,,18.537,31.8280278,182.5,Cultural,No
Historic Fortified Town of Campeche,Mexico,1999,No,,19.84639,-90.53722,181.0,Cultural,No
Garrison Border Town of Elvas and its Fortifications,Portugal,2012,No,,38.8806194,-7.1633222,179.3559,Cultural,No
"Gamzigrad-Romuliana, Palace of Galerius",Serbia,2007,No,,43.8993056,22.1861111,179.217,Cultural,No
Central University City Campus of the Universidad Nacional Autónoma de México (UNAM),Mexico,2007,No,,19.3322222,-99.1880556,176.5,Cultural,No
"Hiraizumi – Temples, Gardens and Archaeological Sites Representing the Buddhist Pure Land",Japan,2011,No,,39.0011111,141.1077778,176.2,Cultural,No
Megalithic Jar Sites in Xiengkhuang – Plain of Jars,Lao PDR,2019,No,,19.4310556,103.1522222,174.56,Cultural,No
Neolithic Flint Mines at Spiennes (Mons),Belgium,2000,No,,50.43077,3.97879,172.0,Cultural,No
Rock-Hewn Churches of Ivanovo,Bulgaria,1979,No,,43.694858,25.987893,171.9,Cultural,No
Historic Centre of Siena,Italy,1995,No,,43.3186111,11.3316667,170.0,Cultural,No
Dilmun Burial Mounds,Bahrain,2019,No,,26.1497222,50.5127778,168.45,Cultural,No
Historic Centres of Stralsund and Wismar,Germany,2002,No,,54.3025,13.0852778,168.0,Cultural,No
Historic Town of Ouro Preto,Brazil,1980,No,,-20.3888889,-43.5055556,167.8,Cultural,No
Kathmandu Valley,Nepal,1979,No,2007.0,27.70395,85.30858,167.37,Cultural,No
Historical Centre of the City of Arequipa,Peru,2000,No,,-16.398353,-71.536777,166.52,Cultural,No
Ciudad Universitaria de Caracas,Venezuela,2000,No,,10.49073,-66.89068,164.203,Cultural,No
Monumental Earthworks of Poverty Point,United States,2014,No,,32.6369444,-91.4063889,163.0,Cultural,No
Royal Domain of Drottningholm,Sweden,1991,No,,59.32306,17.88333,162.429,Cultural,No
Paphos,Cyprus,1980,No,,34.75833,32.40556,162.0171,Cultural,No
Pasargadae,Iran,2004,No,,30.19383,53.16729,159.65,Cultural,No
Cultural Landscape and Archaeological Remains of the Bamiyan Valley,Afghanistan,2003,Yes,,34.84694,67.82525,158.9265,Cultural,No
Archaeological Site of Troy,Turkey,1998,No,,39.95644,26.239,158.0,Cultural,No
Semmering Railway,Austria,1998,No,,47.6487778,15.8279722,156.18,Cultural,No
Citadel of the Ho Dynasty,Vietnam,2011,No,,20.0780556,105.6047222,155.5,Cultural,No
Archaeological Area and the Patriarchal Basilica of Aquileia,Italy,1998,No,,45.7683333,13.3675,155.43,Cultural,No
Temple of Preah Vihear,Cambodia,2008,No,,14.3883333,104.6838889,154.7,Cultural,No
"Melaka and George Town, Historic Cities of the Straits of Malacca",Malaysia,2008,No,,5.4213889,100.3458333,154.68,Cultural,No
Pampulha Modern Ensemble,Brazil,2016,No,,-19.8519444,-43.9736111,154.0,Cultural,No
Tyre,Lebanon,1984,No,,33.2691667,35.1958333,153.8,Cultural,No
Fujian Tulou,China,2008,No,,25.0230556,117.6858333,152.65,Cultural,No
Rhaetian Railway in the Albula / Bernina Landscapes,Switzerland,2008,No,,46.4983333,9.8463889,152.42,Cultural,Yes
Rhaetian Railway in the Albula / Bernina Landscapes,Italy,2008,No,,46.4983333,9.8463889,152.42,Cultural,Yes
Aphrodisias,Turkey,2017,No,,37.7083333,28.7236111,152.25,Cultural,No
Al Qal''a of Beni Hammad,Algeria,1980,No,,35.81844,4.78684,150.0,Cultural,No
Historic Centre of Kraków,Poland,1978,No,,50.0613889,19.9372222,149.65,Cultural,No
"Archaeological Zone of Paquimé, Casas Grandes",Mexico,1998,No,,30.367128,-107.948122,146.72,Cultural,No
Mistaken Point,Canada,2016,No,,46.635,-53.2111111,146.0,Natural,No
New Lanark,United Kingdom,2001,No,,55.6633333,-3.7830556,146.0,Cultural,No
Old Town of Lijiang,China,1997,No,,26.86667,100.23333,145.6,Cultural,No
Old Village of Hollókő and its Surroundings,Hungary,1987,No,,47.99444,19.52917,144.5,Cultural,No
Palace and Park of Fontainebleau,France,1981,No,,48.4019444,2.6980556,144.0,Cultural,No
Palmeral of Elche,Spain,2000,No,,38.2666667,-0.7166667,144.0,Cultural,No
City of Cuzco,Peru,1983,No,,-13.517276,-71.980004,142.48,Cultural,No
Town of Bamberg,Germany,1993,No,,49.8916667,10.8888889,142.0,Cultural,No
My Son Sanctuary,Vietnam,1999,No,,15.773843,108.109169,142.0,Cultural,No
Jomon Prehistoric Sites in Northern Japan,Japan,2021,No,,41.0655556,140.5522222,141.9,Cultural,No
White City of Tel-Aviv – the Modern Movement,Israel,2003,No,,32.0730556,34.7705556,140.4,Cultural,No
Baekje Historic Areas,Korea,2015,No,,36.4619444,127.1272222,135.1,Cultural,No
Historic District of Old Québec,Canada,1985,No,,46.8094444,-71.2105556,135.0,Cultural,No
Old Town of Segovia and its Aqueduct,Spain,1985,No,,40.9484722,-4.11675,134.28,Cultural,No
"Le Havre, the City Rebuilt by Auguste Perret",France,2005,No,,49.49278,0.1075,133.0,Cultural,No
"Royal Botanic Gardens, Kew",United Kingdom,2003,No,,51.4819444,-0.2940278,132.0,Cultural,No
Archaeological Site of Cyrene,Libya,1982,Yes,,32.825,21.85833,131.675,Cultural,No
Armenian Monastic Ensembles of Iran,Iran,2008,No,,38.9788889,45.4733333,129.2819,Cultural,No
Xanthos-Letoon,Turkey,1988,No,,36.335,29.32028,126.4,Cultural,No
Göbekli Tepe,Turkey,2018,No,,37.2232419,38.9223639,126.0,Cultural,No
Medici Villas and Gardens in Tuscany,Italy,2013,No,,43.8577778,11.3041667,125.4,Cultural,No
Ancient Ferrous Metallurgy Sites of Burkina Faso,Burkina Faso,2019,No,,12.5877583,-3.3289861,122.3,Cultural,No
Historic Centre of Sheki with the Khan’s Palace,Azerbaijan,2019,No,,41.2033333,47.1875,120.5,Cultural,No
L''viv – the Ensemble of the Historic Centre,Ukraine,1998,Yes,,49.84163,24.03198,120.0,Cultural,No
Major Mining Sites of Wallonia,Belgium,2012,No,,50.4352778,3.8383333,118.07,Cultural,No
Ancient City of Bosra,Syrian Arab Republic,1980,Yes,,32.5191667,36.4841667,116.2,Cultural,No
Kuk Early Agricultural Site,Papua New Guinea,2008,No,,-5.7837111,144.3317222,116.0,Cultural,No
Historic Centre (Old Town) of Tallinn,Estonia,1997,No,,59.43333,24.7333333,113.0,Cultural,No
Water Management System of Augsburg,Germany,2019,No,,48.3654722,10.902,112.83,Cultural,No
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),Italy,2002,No,,36.8931944,15.0689167,112.79,Cultural,No
Sulaiman-Too Sacred Mountain,Kyrgyz Republic,2009,No,,40.5311111,72.7827778,112.0,Cultural,No
Caliphate City of Medina Azahara,Spain,2018,No,,37.8858889,-4.8676944,111.0,Cultural,No
Historical Centre of the City of Yaroslavl,Russia,2005,No,,57.65278,39.87611,110.0,Cultural,No
Historic Town of Grand-Bassam,Côte d''Ivoire,2012,No,,5.1958333,-3.7363889,109.89,Cultural,No
Maritime Greenwich,United Kingdom,1997,No,,51.4811667,-0.0037778,109.5,Cultural,No
"Grimeton Radio Station, Varberg",Sweden,2004,No,,57.1,12.3833333,109.09,Cultural,No
Skogskyrkogården,Sweden,1994,No,,59.27556,18.09944,108.08,Cultural,No
"Provins, Town of Medieval Fairs",France,2001,No,,48.5597222,3.2988889,108.0,Cultural,No
Santiago de Compostela (Old Town),Spain,1985,No,,42.88076,-8.54468,107.59,Cultural,No
Himeji-jo,Japan,1993,No,,34.8333333,134.7,107.0,Cultural,No
Colonial City of Santo Domingo,Dominican Republic,1990,No,,18.472394,-69.885841,106.0,Cultural,No
Archaeological Site of Olympia,Greece,1989,No,,37.64,21.634,105.6,Cultural,No
Pontcysyllte Aqueduct and Canal,United Kingdom,2009,No,,52.9702778,-3.0877778,105.0,Cultural,No
Heritage of Mercury. Almadén and Idrija,Spain,2012,No,,38.7752778,-4.8388889,104.1,Cultural,Yes
Heritage of Mercury. Almadén and Idrija,Slovenia,2012,No,,38.7752778,-4.8388889,104.1,Cultural,Yes
Franciscan Missions in the Sierra Gorda of Querétaro,Mexico,2003,No,,21.2043889,-99.4641111,103.7,Cultural,No
Dholavira: a Harappan City,India,2021,No,,23.8884083,70.2133028,103.0,Cultural,No
"Seowon, Korean Neo-Confucian Academies",Korea,2019,No,,36.7272972,128.8434278,102.49,Cultural,No
Sacred Island of Okinoshima and Associated Sites in the Munakata Region,Japan,2017,No,,34.245,130.1055556,98.93,Cultural,No
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",Germany,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",Switzerland,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",Belgium,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",Argentina,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",Japan,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",France,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement",India,2016,No,,46.4684139,6.8293361,98.4838,Cultural,Yes
Routes of Santiago de Compostela in France,France,1998,No,,45.1840556,0.7229444,97.21,Cultural,No
Old City of Dubrovnik,Croatia,1979,No,1998.0,42.6414211,18.1088611,96.7,Cultural,No
"Biblical Tels - Megiddo, Hazor, Beer Sheba",Israel,2005,No,,32.59722,35.18222,96.04,Cultural,No
Stone Town of Zanzibar,Tanzania,2000,No,,-6.16306,39.18917,96.0,Cultural,No
Island of Mozambique,Mozambique,1991,No,,-15.03417,40.73583,95.7,Cultural,No
"Monastery and Site of the Escurial, Madrid",Spain,1984,No,,40.5891111,-4.14775,94.11,Cultural,No
"San Pedro de la Roca Castle, Santiago de Cuba",Cuba,1997,No,,19.968446,-75.870441,93.88,Cultural,No
Timgad,Algeria,1982,No,,35.4841667,6.4688611,90.54,Cultural,No
Archaeological Site of Sabratha,Libya,1982,Yes,,32.80528,12.485,90.534,Cultural,No
Sacri Monti of Piedmont and Lombardy,Italy,2003,No,,45.9745556,9.1695556,90.5,Cultural,No
"Collegiate Church, Castle and Old Town of Quedlinburg",Germany,1994,No,,51.78333,11.15,90.0,Cultural,No
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",Angola,2017,No,,-6.2688889,14.2497222,89.29,Cultural,No
Castles of Augustusburg and Falkenlust at Brühl,Germany,1984,No,,50.8250278,6.9097778,89.0,Cultural,No
Mountain Railways of India,India,1999,No,,11.51028,76.93583,88.99,Cultural,No
Berlin Modernism Housing Estates,Germany,2008,No,,52.4483333,13.45,88.1,Cultural,No
Archaeological Site of Philippi,Greece,2016,No,,41.0147222,24.2852778,87.545,Cultural,No
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",Italy,1997,No,,41.07333,14.32639,87.37,Cultural,No
Miguasha National Park,Canada,1999,No,,48.105,-66.3530556,87.3,Natural,No
Ancient City of Damascus,Syrian Arab Republic,1979,Yes,,33.5108333,36.3097222,86.12,Cultural,No
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",Netherlands,1997,No,,12.10194,-68.90222,86.0,Cultural,No
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,China,1987,No,,41.7941667,123.4469444,84.96,Cultural,No
Old City of Berne,Switzerland,1983,No,,46.94806,7.45028,84.684,Cultural,No
Old town of Kuldīga,Latvia,2023,No,,56.96775,21.9715278,84.33,Cultural,No
Hanseatic City of Lübeck,Germany,1987,No,,53.86667,10.69167,81.1,Cultural,No
Historic Centre of Cordoba,Spain,1984,No,,37.8791944,-4.7797222,80.28,Cultural,No
Villa Adriana (Tivoli),Italy,1999,No,,41.9441667,12.7719722,80.0,Cultural,No
University and Historic Precinct of Alcalá de Henares,Spain,1998,No,,40.4813889,-3.3680556,78.38,Cultural,No
Parthian Fortresses of Nisa,Turkmenistan,2007,No,,37.9997222,58.1986111,77.905,Cultural,No
Historic Centre of Agadez,Niger,2013,No,,16.9736111,7.9913889,77.6,Cultural,No
Nan Madol: Ceremonial Centre of Eastern Micronesia,Micronesia,2016,Yes,,6.8397222,158.3308333,76.7,Cultural,No
Ancient City of Qalhat,Oman,2018,No,,22.6952222,59.3781111,75.82,Cultural,No
Old City of Zamość,Poland,1992,No,,50.7169444,23.2527778,75.0391,Cultural,No
Historic Monuments Zone of Tlacotalpan,Mexico,1998,No,,18.613459,-95.658676,75.0,Cultural,No
Osun-Osogbo Sacred Grove,Nigeria,2005,No,,7.75556,4.55222,75.0,Cultural,No
Dougga / Thugga,Tunisia,1997,No,,36.42361,9.22028,75.0,Cultural,No
Gardens and Castle at Kroměříž,Czech Republic,1998,No,,49.3,17.3772222,74.5,Cultural,No
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Armenia,2000,No,,40.15931,44.29514,74.3,Cultural,No
Maulbronn Monastery Complex,Germany,1993,No,,49.00083,8.81306,72.45,Cultural,No
Rachid Karami International Fair-Tripoli,Lebanon,2023,Yes,,34.4377778,35.8241667,72.0,Cultural,No
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,Bolivia,2000,No,,-16.555003,-68.673278,71.5,Cultural,No
City of Quito,Ecuador,1978,No,,-0.22,-78.5120833,70.43,Cultural,No
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Bahrain,2005,No,,26.23306,50.5272222,70.4,Cultural,No
Minaret and Archaeological Remains of Jam,Afghanistan,2002,Yes,,34.3964167,64.5158889,70.0,Cultural,No
Old Town of Corfu,Greece,2007,No,,39.6239414,19.9275,70.0,Cultural,No
Urban Historic Centre of Cienfuegos,Cuba,2005,No,,22.145887,-80.452183,70.0,Cultural,No
Ashur (Qal''at Sherqat),Iraq,2003,Yes,,35.4566667,43.2611111,70.0,Cultural,No
Levuka Historical Port Town,Fiji,2013,No,,-17.6833778,178.8345333,69.6,Cultural,No
Kairouan,Tunisia,1988,No,,35.68167,10.10389,68.02,Cultural,No
